Capital Latitude,Capital Longitude,Country Name,Capital Name,
40.4,-3.683333,Spain,Madrid,
6.916666667,79.833333,Sri Lanka,Colombo,
15.6,32.533333,Sudan,Khartoum,
5.833333333,-55.166667,Suriname,Paramaribo,
78.21666667,15.633333,Svalbard,Longyearbyen,
-26.31666667,31.133333,Swaziland,Mbabane,
59.33333333,18.05,Sweden,Stockholm,
46.91666667,7.466667,Switzerland,Bern,
33.5,36.3,Syria,Damascus,
25.03333333,121.516667,Taiwan,Taipei,
38.55,68.766667,Tajikistan,Dushanbe,
-6.8,39.283333,Tanzania,Dar es Salaam,
13.75,100.516667,Thailand,Bangkok,
13.45,-16.566667,The Gambia,Banjul,
-8.583333333,125.6,Timor-Leste,Dili,
6.116666667,1.216667,Togo,Lome,
-9.166667,-171.833333,Tokelau,Atafu,
-21.13333333,-175.2,Tonga,Nukuíalofa,
10.65,-61.516667,Trinidad and Tobago,Port of Spain,
36.8,10.183333,Tunisia,Tunis,
39.93333333,32.866667,Turkey,Ankara,
37.95,58.383333,Turkmenistan,Ashgabat,
21.46666667,-71.133333,Turks and Caicos Islands,Grand Turk,
-8.516666667,179.216667,Tuvalu,Funafuti,
0.316666667,32.55,Uganda,Kampala,
50.43333333,30.516667,Ukraine,Kyiv,
24.46666667,54.366667,United Arab Emirates,Abu Dhabi,
51.5,-0.083333,United Kingdom,London,
38.883333,-77,United States,Washington, D.C.
-34.85,-56.166667,Uruguay,Montevideo,
38.883333,-77,US Minor Outlying Islands,Washington, D.C.
18.35,-64.933333,US Virgin Islands,Charlotte Amalie,
41.31666667,69.25,Uzbekistan,Tashkent,
-17.73333333,168.316667,Vanuatu,Port-Vila,
41.9,12.45,Vatican City,Vatican City,
10.48333333,-66.866667,Venezuela,Caracas,
21.03333333,105.85,Vietnam,Hanoi,
-13.95,-171.933333,Wallis and Futuna,Mata-Utu,
27.153611,-13.203333,Western Sahara,El-Aai√∫n,
15.35,44.2,Yemen,Sanaa,
-15.41666667,28.283333,Zambia,Lusaka,
-17.81666667,31.033333,Zimbabwe,Harare,
